X,Y,Year,Occurrence,Occurren_Day,Location_T,Bicycle_Status,Bicycle_Value,Bicycle_Make,Bicycle_Model,Bicycle_Type,Bicycle_Frame,Bicycle_Color,Ottawa_Neighboirhood,Month,string in numeric
-8430416.974,5685824.987,2022,2022/09/14 00:00:00+00,Wednesday,UNIVERSITIES / COLLEGES,STOLEN,700,NORCO,INDIE,MOUNTAIN,UNISEX,BLACK,Hintonburg - Mechanicsville,September,Found
-8430416.974,5685824.987,2022,2022/09/14 00:00:00+00,Wednesday,"SINGLE HOME, HOUSE",STOLEN,700,NORCO,INDIE,OTHER,UNISEX,BLACK,Hintonburg - Mechanicsville,September,Found
-8425560.516,5689274.443,2022,2022/09/12 00:00:00+00,Monday,COMMERCIAL DWELLING UNIT,STOLEN,3500,CANNONDALE,CAA0X,OTHER,UNISEX,BLACK,Hintonburg - Mechanicsville,September,Found
-8426487.705,5682423.345,2022,2022/09/08 00:00:00+00,Thursday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,700,UNKNOWN,UNKNOWN,MOUNTAIN,MEN'S,BLACK RED,Hintonburg - Mechanicsville,September,Found
-8422897.986,5690280.319,2022,2022/09/13 00:00:00+00,Tuesday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,600,GLOBAL,N/A,MOUNTAIN,MEN'S,BROWN,Hintonburg - Mechanicsville,September,Found
-8425505.431,5684974.972,2022,2022/09/14 00:00:00+00,Wednesday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,1100,CANNONDALE,TRAIL 7,HYBRID,MEN'S,GREEN,Hintonburg - Mechanicsville,September,Found
-8430416.974,5685824.987,2022,2022/09/14 00:00:00+00,Wednesday,OPEN AREAS,STOLEN,1750,KONA,CINDER CONE,REGULAR,MEN'S,GREEN,Hintonburg - Mechanicsville,September,Found
-8430416.974,5685824.987,2022,2022/09/14 00:00:00+00,Wednesday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,1750,KONA,CINDER CONE,MOUNTAIN,MEN'S,GREEN,Hintonburg - Mechanicsville,September,Found
,,,,,,,,,,,,,,,
-8439102.301,5676285.342,2022,2022/09/12 00:00:00+00,Monday,BAR OR RESTAURANT,STOLEN,190,DYNACRAFT,HELLO KITTY,MOUNTAIN,CHILD'S,PINK,West Centretown,September,Found
-8439102.301,5676285.342,2022,2022/09/12 00:00:00+00,Monday,"SINGLE HOME, HOUSE",STOLEN,190,DYNACRAFT,HELLO KITTY,OTHER,CHILD'S,PINK,West Centretown,September,Found
-8430416.974,5685824.987,2022,2022/09/14 00:00:00+00,Wednesday,COMMERCIAL DWELLING UNIT,STOLEN,1000,TREK,FX 3 DISC M RD,OTHER,UNISEX,RED,Vanier South,September,Found
-8430416.974,5685824.987,2022,2022/09/14 00:00:00+00,Wednesday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,1000,TREK,FX 3 DISC M RD,TOURING,UNISEX,RED,Byward Market,September,Found
-8427609.195,5686132.265,2022,2022/09/09 00:00:00+00,Friday,OPEN AREAS,STOLEN,1200,MOUNTAIN EQUIPM,N/A,HYBRID,MEN'S,SILK,Byward Market,September,Found
-8430518.71,5686070.645,2022,2022/09/06 00:00:00+00,Tuesday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,300,SCHW,N/A,HYBRID,MEN'S,WHITE,Carleton University,September,Found
-8430518.71,5686070.645,2022,2022/09/06 00:00:00+00,Tuesday,"SINGLE HOME, HOUSE",STOLEN,300,SCHW,N/A,OTHER,MEN'S,WHITE,Bayshore - Belltown,September,Found
-8430518.71,5686070.645,2022,2022/09/06 00:00:00+00,Tuesday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,300,SCHW,N/A,HYBRID,MEN'S,WHITE,Bayshore - Belltown,September,Found
-8427609.195,5686132.265,2022,2022/09/09 00:00:00+00,Friday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,900,LINUS,N/A,HYBRID,WOMEN'S,WHITE,Manor Park,September,Found
-8426194.266,5687182.615,2022,2022/09/12 00:00:00+00,Monday,SCHOOLS DURING SUPERVISED ACTIVITY,STOLEN,950,CANNONDALE,QUICK 5,MOUNTAIN,MEN'S,BLACK,Centretown,September,Found
-8450485.867,5663187.346,2022,2022/09/13 00:00:00+00,Tuesday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,600,GARNEAU. 2020,TRUST 264,MOUNTAIN,MEN'S,BLACK,Centretown,September,Found
-8426918.434,5687879.157,2022,2022/09/11 00:00:00+00,Sunday,"STREETS, ROADS, HIGHWAYS",STOLEN,N/A,GT,KARAKORAM,HYBRID,MEN'S,BLACK GREEN,Sandy Hill,September,Found
-8424830.013,5688470.345,2022,2022/09/11 00:00:00+00,Sunday,"SINGLE HOME, HOUSE",STOLEN,1500,TREK,DUAL SPORT 3 W,HYBRID,WOMEN'S,PUPLE,Overbrook - McArthur,September,Found
-8420180.366,5691220.902,2022,2022/09/12 00:00:00+00,Monday,"SINGLE HOME, HOUSE",STOLEN,390.92,RIVERSIDE,VELO HYBRIDE,HYBRID,UNISEX,SILK,Byward Market,September,Found
-8426716.763,5689280.143,2022,2022/09/12 00:00:00+00,Monday,OPEN AREAS,STOLEN,480,OPUS,SENTIERO 1.0,REGULAR,MEN'S,WHITE,Stittsville,September,Found
-8426562.364,5687782.832,2022,2022/09/12 00:00:00+00,Monday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,550,GIANT,ESCAPE 3,MOUNTAIN,MEN'S,BLACK,Centretown,September,Found
-8425134.587,5688289.587,2022,2022/09/11 00:00:00+00,Sunday,"SINGLE HOME, HOUSE",STOLEN,1500,BMW,M BIKE LIMITED,HYBRID,MEN'S,BLACK,Centretown,September,Found
-8438321.064,5677450.679,2022,2022/09/12 00:00:00+00,Monday,PARKING LOTS,STOLEN,800,RALEIGH,2022,MOUNTAIN,MEN'S,BLACK,Centretown,September,Found
-8429178.386,5686268.354,2022,2022/09/12 00:00:00+00,Monday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,75,NEVADA,N/A,TOURING,MEN'S,BLACK,Centretown,September,Found
-8420024.77,5684604.356,2022,2022/09/06 00:00:00+00,Tuesday,SUBWAY / SUBWAY STATION,STOLEN,900,TREK,DUAL SPORT 1 GE,MOUNTAIN,MEN'S,DARK BLACK,Braemar Park - Bel Air Heights - Copeland Park,September,Found
-8426824.981,5686258.551,2022,2022/09/10 00:00:00+00,Saturday,"SINGLE HOME, HOUSE",STOLEN,1000,NORCO STORM,7.1 FORMA 2014,OTHER,WOMEN'S,GRAY,Sandy Hill,September,Found
-8426385.289,5689156.114,2022,2022/09/09 00:00:00+00,Friday,SCHOOLS DURING SUPERVISED ACTIVITY,STOLEN,N/A,KONA,JAKE THE SNAKE,HYBRID,MEN'S,GREEN,Sandy Hill,September,Found
-8426385.289,5689156.114,2022,2022/09/09 00:00:00+00,Friday,"STREETS, ROADS, HIGHWAYS",STOLEN,N/A,KONA,JAKE THE SNAKE,MOUNTAIN,MEN'S,GREEN,Sandy Hill,September,Found
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
-8427140.094,5687183.514,2022,2022/09/08 00:00:00+00,Thursday,BAR OR RESTAURANT,STOLEN,600,KONA,DEW FS,HYBRID,WOMEN'S,RED,Elmvale - Canterbury,September,Found
-8427140.094,5687183.514,2022,2022/09/08 00:00:00+00,Thursday,"STREETS, ROADS, HIGHWAYS",STOLEN,600,KONA,DEW FS,REGULAR,WOMEN'S,RED,Portobello South,September,Found
-8432722.011,5677733.859,2022,2022/09/12 00:00:00+00,Monday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,1000,RALEIGH MOUNTAI,FAT BIKE,OTHER,MEN'S,RED,Byward Market,September,Found
-8405023.911,5693276.868,2022,2022/09/10 00:00:00+00,Saturday,"SINGLE HOME, HOUSE",STOLEN,1000,GIANT,22 ROAM DISC 3,OTHER,MEN'S,SILK,Byward Market,September,Found
-8424403.486,5688727.171,2022,2022/09/11 00:00:00+00,Sunday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,1400,SPECIALIZED,ROCK HOPPER,MOUNTAIN,WOMEN'S,WHITE,West Centretown,September,Found
-8424943.567,5683859.821,2022,2022/09/10 00:00:00+00,Saturday,UNIVERSITIES / COLLEGES,STOLEN,250,NORCO,HYBRID VFR,HYBRID,MEN'S,GRAY,Hintonburg - Mechanicsville,September,Found
-8429684.218,5685923.312,2022,2022/09/07 00:00:00+00,Wednesday,"SINGLE HOME, HOUSE",STOLEN,1500,QUINTANA ROO,TEQUILLO,HYBRID,WOMEN'S,YELLOW,Hintonburg - Mechanicsville,September,Found
-8429684.218,5685923.312,2022,2022/09/07 00:00:00+00,Wednesday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,1500,QUINTANA ROO,TEQUILLO,OTHER,WOMEN'S,YELLOW,Old Ottawa South,September,Found
-8425277.183,5689689.57,2022,2022/09/10 00:00:00+00,Saturday,"SINGLE HOME, HOUSE",STOLEN,836.18,BROOKLYN BIKE C,FRANKLIN 3,RACER,UNISEX,BLACK,Beacon Hill South - Cardinal Heights,September,Found
-8426487.705,5682423.345,2022,2022/09/08 00:00:00+00,Thursday,"SINGLE HOME, HOUSE",STOLEN,1216.33,GIANT,CYPRESS 2,RACER,MEN'S,BLACK,Centretown,September,Found
-8427612.623,5687584.931,2022,2022/08/25 00:00:00+00,Thursday,DWELLING UNIT,STOLEN,892,TREK,DUAL SPORT 2,HYBRID,MEN'S,GRAY SILK,Lowertown,August,Found
-8416343.011,5690547.865,2022,2022/09/10 00:00:00+00,Saturday,UNIVERSITIES / COLLEGES,STOLEN,200,NAKAMURA,ROYAL 700C,HYBRID,WOMEN'S,LBLTRQ,Carleton University,September,Found
-8425722.097,5687887.121,2022,2022/09/08 00:00:00+00,Thursday,"STREETS, ROADS, HIGHWAYS",STOLEN,500,GT,GT AGGRESSOR SP,REGULAR,MEN'S,RED,Centretown,September,Found
-8424973.11,5688246.304,2022,2022/09/05 00:00:00+00,Monday,"SINGLE HOME, HOUSE",STOLEN,800,GIANT,ROAM,MOUNTAIN,MEN'S,BLACK,Sandy Hill,September,Found
-8425089.752,5688668.529,2022,2022/09/08 00:00:00+00,Thursday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,300,GIANT,OPTIONS,REGULAR,WOMEN'S,BLACK,Sandy Hill,September,Found
-8435859.337,5678992.868,2022,2022/09/08 00:00:00+00,Thursday,UNIVERSITIES / COLLEGES,STOLEN,1000,TREK,FX2,MOUNTAIN,MEN'S,BLACK,Whitehaven - Queensway Terrace North,September,Found
-8423232.055,5690722.06,2022,2022/09/07 00:00:00+00,Wednesday,SCHOOLS DURING SUPERVISED ACTIVITY,STOLEN,300,SUPE,SOLARIS,HYBRID,MEN'S,BLACK,Vanier North,September,Found
-8423832.382,5684646.119,2022,2022/09/05 00:00:00+00,Monday,"STREETS, ROADS, HIGHWAYS",STOLEN,7400,TREK,N/A,HYBRID,MEN'S,GRAY ORANGE,Byward Market,September,Found
-8425630.383,5689080.801,2022,2022/08/17 00:00:00+00,Wednesday,SCHOOLS DURING NOT SUPERVISED ACTIVITY,STOLEN,200,MALVELO,N/A,N/A,WOMEN'S,PINK,Old Ottawa East,August,Found
-8425104.137,5684751.711,2022,2022/09/07 00:00:00+00,Wednesday,"STREETS, ROADS, HIGHWAYS",STOLEN,400,GIANT,N/A,MOUNTAIN,MEN'S,BLUE,Glebe - Dows Lake,September,Found
