X,Y,Year,Occurrence,Occurren_Day,Location_T,Bicycle_Status,Bicycle_Value,Bicycle_Make,Bicycle_Type,Bicycle_Frame,Bicycle_Color,Ottawa_Neighboirhood,Month,Diff_Rep_Occu,Brand_Popularity,Range_Price,Weekend_or_WeekDay
-8433627.81,5682155.416,2019,2019/09/03 00:00:00+00,Tuesday,SCHOOLS DURING SUPERVISED ACTIVITY,STOLEN,400,BTWIN,HYBRID,MEN'S,BLACK,Centretown,September,3,LESS-RECOGNIZED,VERY LOW PRICE,Week_Day
-8422115.858,5679206.978,2019,2019/04/09 00:00:00+00,Tuesday,"SINGLE HOME, HOUSE",STOLEN,2200,CANNONDALE,HYBRID,MEN'S,BLACK,Ledbury - Heron Gate - Ridgemont,April,4,Well-Known,AFFORDABLE,Week_Day
-8402742.351,5697291.546,2019,2019/09/02 00:00:00+00,Tuesday,"SINGLE HOME, HOUSE",STOLEN,500,PALOMAR,MOUNTAIN,MEN'S,BLACK,Laurentian,September,1,LESS-RECOGNIZED,LOW PRICE,Week_Day
-8424369.459,5687726.593,2019,2019/04/05 00:00:00+00,Monday,"STREETS, ROADS, HIGHWAYS",STOLEN,300,DEVINCI,HYBRID,MEN'S,GREEN,Sandy Hill,April,0,FAIRLY RECOGNIZED,VERY LOW PRICE,Week_Day
-8427496.513,5687786.077,2019,2019/09/03 00:00:00+00,Tuesday,OPEN AREAS,STOLEN,850,ORBEA,HYBRID,MEN'S,GRAY,West Centretown,September,3,Well-Known,LOW PRICE,Week_Day
-8424973.11,5688246.304,2019,2019/04/04 00:00:00+00,Friday,UNIVERSITIES / COLLEGES,STOLEN,1200,DEVINCI,MOUNTAIN,MEN'S,YELLOW,Sandy Hill,April,2,FAIRLY RECOGNIZED,AFFORDABLE,Weekend
-8428170.744,5685344.449,2019,2019/09/03 00:00:00+00,Tuesday,PARKING LOTS,STOLEN,255,GARY FISHER,REGULAR,MEN'S,GRAY,Centretown,September,0,LESS-RECOGNIZED,VERY LOW PRICE,Week_Day
-8426177.251,5689279.892,2019,2019/04/02 00:00:00+00,Thursday,"STREETS, ROADS, HIGHWAYS",STOLEN,650,GIANT,HYBRID,MEN'S,BLACK,Byward Market,April,1,Well-Known,LOW PRICE,Week_Day
-8425518.818,5690135.967,2019,2019/07/29 00:00:00+00,Monday,DWELLING UNIT,STOLEN,1000,CANNONDALE,MOUNTAIN,WOMEN'S,BLACK,Sandy Hill,July,0,Well-Known,LOW PRICE,Week_Day
-8428170.744,5685344.449,2019,2019/09/03 00:00:00+00,Tuesday,PARKING LOTS,STOLEN,2000,RALEIGH,HYBRID,UNISEX,GREEN,West Centretown,September,3,FAIRLY RECOGNIZED,AFFORDABLE,Week_Day
-8425880.574,5680449.176,2019,2019/07/24 00:00:00+00,Monday,PARK,STOLEN,700,SPECIALIZED,MOUNTAIN,MEN'S,BLACK,Stittsville,July,242,Well-Known,LOW PRICE,Week_Day
-8424632.494,5688589.643,2019,2019/09/01 00:00:00+00,Monday,DWELLING UNIT,STOLEN,874,DEVINCI,HYBRID,MEN'S,BLACK,Centretown,September,14,FAIRLY RECOGNIZED,LOW PRICE,Week_Day
-8424876.127,5689394.292,2019,2019/07/28 00:00:00+00,Monday,PARKING LOTS,STOLEN,400,SCHWINN,MOUNTAIN,MEN'S,BLUE,Hintonburg - Mechanicsville,July,5,LESS-RECOGNIZED,VERY LOW PRICE,Week_Day
-8425171.31,5684605.078,2019,2019/09/02 00:00:00+00,Monday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,600,GT,HYBRID,MEN'S,BLACK,Sandy Hill,September,14,Well-Known,LOW PRICE,Week_Day
-8426194.266,5687182.615,2019,2019/07/27 00:00:00+00,Monday,DWELLING UNIT,STOLEN,2000,SPECIALIZED,OTHER,MEN'S,BLUE,Centretown,July,0,Well-Known,AFFORDABLE,Week_Day
-8438229.706,5677829.078,2019,2019/07/16 00:00:00+00,Monday,BAR OR RESTAURANT,STOLEN,300,JAMIS,MOUNTAIN,MEN'S,BRONZE,Centretown,July,0,FAIRLY RECOGNIZED,VERY LOW PRICE,Week_Day
